name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Lifelong Adjustable Cycling Helmet with Detachable Visor|Adjustable Light Weight Mountain Bike Cycle Helmet with Padding f...,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/71q10atG9VL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-Adjustable-Detachable-Mountain-LLFAH05/dp/B0BJVPY5G3/ref=sr_1_169?qid=1679221676&s=automotive&sr=1-169,4.1,78,₹799,"₹1,999"
Steelbird SBA-21 GT Full Face Helmet with Clear Visor,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/61rJupbyi2L._AC_UL320_.jpg,https://www.amazon.in/Steelbird-SBA-21-Certified-Thermoplastic-Dashing/dp/B091MLN1FW/ref=sr_1_170?qid=1679221676&s=automotive&sr=1-170,3.9,664,"₹1,061","₹1,189"
Automopix Bike Stickers Leh Ladakh Bike Decals Tool Box Helmet Stickers Full Sheet,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/71vPL-M2epL._AC_UL320_.jpg,https://www.amazon.in/Automopix-Stickers-Ladakh-Decals-Helmet/dp/B07ZY4HTRW/ref=sr_1_171?qid=1679221676&s=automotive&sr=1-171,3.7,199,₹150,₹699
Mahabir Back Rest for Ola S1 Pro,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/5110jbH12CL._AC_UL320_.jpg,https://www.amazon.in/Mahabir-Back-Rest-Ola-Pro/dp/B0BNQ4TFRP/ref=sr_1_172?qid=1679221676&s=automotive&sr=1-172,3.1,8,₹397,"₹1,999"
Explore Rear Paddock Stand with Swing Arm Rest (Orange),car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/519GQFNPfgL._AC_UL320_.jpg,https://www.amazon.in/Explore-Paddock-Stand-Swing-black/dp/B081S2ZSF9/ref=sr_1_173?qid=1679221676&s=automotive&sr=1-173,4.2,891,"₹1,899","₹4,999"
Raida CoolSkin Balaclava,car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/51Yu30G9boL._AC_UL320_.jpg,https://www.amazon.in/Raida-CoolSkin-Balaclava/dp/B07XC73MMF/ref=sr_1_174?qid=1679221676&s=automotive&sr=1-174,4.2,454,₹379,₹399
"AmazonBasics Glove with Protective Padding for Cycling, Riding, Camping and Gym, Set of 2, M",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/91wN4GpDb+L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-abcancytoac0042-Cycle-Gloves/dp/B08Z8XYFLD/ref=sr_1_175?qid=1679221676&s=automotive&sr=1-175,3.8,17,₹209,"₹9,999"
8 mm Car Plastic Screw Fasteners for Car Bumper Mudguard (20),car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/61cF-qt4TOL._AC_UL320_.jpg,https://www.amazon.in/Plastic-Screw-Fasteners-Bumper-Mudguard/dp/B091W4CQ1M/ref=sr_1_176?qid=1679221676&s=automotive&sr=1-176,3.6,256,₹199,₹499
"Yamaha Tank Pad for FZ-Fi / FZ-S Fi- black, Pack of 1",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/81P7u7pka9L._AC_UL320_.jpg,https://www.amazon.in/Yamaha-Tank-FZ-Fi-FZ-S-Black/dp/B08HSRMS79/ref=sr_1_177?qid=1679221676&s=automotive&sr=1-177,4.4,907,,₹175
NIKAVI Black Seamless Skull Face Tube Mask - Pack (2),car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/71WM3ev-jaL._AC_UL320_.jpg,https://www.amazon.in/Nikavi-NKV2SKUL1-Seamless-Skull-Black/dp/B06WVBTCT7/ref=sr_1_178?qid=1679221676&s=automotive&sr=1-178,3.6,"1,872",₹235,₹380
