name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Fashnex Resistance Bands Set for Exercise, Stretching and Workout Toning Tube Kit with Foam Handles, Door Anchor, Ankle St...",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71MobOdXOzL._AC_UL320_.jpg,https://www.amazon.in/Fashnex-Resistance-Exercise-Stretching-Carrying/dp/B09G9W3WFL/ref=sr_1_144?qid=1679218369&s=sports&sr=1-144,4.4,"1,176",₹671.04,"₹1,499"
"Astroghar Mini Hand Tally Counter Finger Ring Digital Electronic Head Count,Japa Counter Mini Hand Tally Counter Finger Ri...",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61rXpMc4c8L._AC_UL320_.jpg,https://www.amazon.in/ASTROGHAR-Counter-Finger-Digital-Electronic/dp/B00L9ZZCW6/ref=sr_1_193?qid=1679218371&s=sports&sr=1-193,4.1,"1,429",₹75,₹250
"GKI Superb 3 Star ABS Plastic 40 Table Tennis Ball (6 Pc), White",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61KlbXItQzL._AC_UL320_.jpg,https://www.amazon.in/GKI-Superb-Plastic-Table-Tennis/dp/B07FL7XQ2R/ref=sr_1_194?qid=1679218371&s=sports&sr=1-194,4.2,"1,166",₹399,₹492
"Yonex Mavis 2000 Green Cap Nylon Shuttlecock, Pack of 6 - Made in Japan",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/51Fss0e0-CL._AC_UL320_.jpg,https://www.amazon.in/Yonex-Mavis-2000-Shuttlecock-Yellow/dp/B00T5V4G00/ref=sr_1_195?qid=1679218371&s=sports&sr=1-195,4.1,825,₹860,"₹1,220"
"Cable World Mid-Sized Foosball Mini Football Table Soccer Game, 51X31X10 cm 20 Inches for Kid",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/71vC16mUxTL._AC_UL320_.jpg,https://www.amazon.in/Cable-World%C2%AE-Mid-Sized-Foosball-Football/dp/B07TMZGJK8/ref=sr_1_196?qid=1679218371&s=sports&sr=1-196,4.1,"2,776","₹1,498","₹3,599"
"Li-Ning Bolt Gold (6 in 1 Nylon Shuttlecock), Yellow",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/71LQojnStBL._AC_UL320_.jpg,https://www.amazon.in/Li-Ning-Bolt-Nylon-Shuttlecock-Yellow/dp/B08Q42KFJ7/ref=sr_1_197?qid=1679218371&s=sports&sr=1-197,3.7,"2,285",₹596,"₹1,399"
"Tynor Knee Cap Air Pro, Black & Orange, Medium, Pack of 2",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/71-DrhRNBCL._AC_UL320_.jpg,https://www.amazon.in/Tynor-Knee-Black-Medium-Pack/dp/B09NN2TNYM/ref=sr_1_198?qid=1679218371&s=sports&sr=1-198,4.1,"2,326",₹360,₹399
"AmazonBasics Cylinder Bagless Vacuum Cleaner with Power Suction, Low Sound, High Energy Efficiency and 2 Years Warranty (...",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/71-QiEqDpZL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-VCS35B15K-C-1-5-Litre-Bagless-Cylinder/dp/B07H3N8RJH/ref=sr_1_199?qid=1679218371&s=sports&sr=1-199,4.1,"12,218","₹3,399","₹6,000"
"Feroc 440 Aluminum Set of 2 Badminton Racket with 3 Pieces Feather shuttles with Full Cover Fulfilled by Amazon., White",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61mgERagWbL._AC_UL320_.jpg,https://www.amazon.in/Aluminum-Badminton-Feather-shuttles-Fulfilled/dp/B09YCV2ZX3/ref=sr_1_200?qid=1679218371&s=sports&sr=1-200,4.1,96,₹500,₹999
RUBX Rubber Coated Professional Exercise Hex Fixed Dumbbells (Pack of Two) 5 Kg x 2pc (Total = 10 kg) Black,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61mUc9vBJqL._AC_UL320_.jpg,https://www.amazon.in/RUBX-Rubber-Professional-Exercise-Dumbbells/dp/B06XKWS55Q/ref=sr_1_201?qid=1679218371&s=sports&sr=1-201,4.6,"6,577","₹1,599","₹3,000"
FreshDcart 5-Digit Tally Clicker Counter Finger Clicker Ring Electronic Light Digital Counting Machine for Cricket Umpire ...,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/51kz4grlPqL._AC_UL320_.jpg,https://www.amazon.in/FreshDcart-5-Digit-Electronic-Counting-Multicolor/dp/B07P2FWT6P/ref=sr_1_202?qid=1679218371&s=sports&sr=1-202,3.9,327,₹180,₹999
"Silver's Kids SIL-Pedal Combo-4 Aluminum Badminton Racquet, Pack of 2",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/81bDKj1AijL._AC_UL320_.jpg,https://www.amazon.in/Silvers-SIL-Pedal-Combo-4-Aluminum-Badminton/dp/B07CM8P5JP/ref=sr_1_203?qid=1679218371&s=sports&sr=1-203,4.0,"1,713",₹295,₹399
"Boldfit Resistance Bands for Workout Dual Color Heavy Resistance Band for Stretching, Pull ups, Home Exercise Resistance B...",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61CCr59fvlL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Natural-Resistance-Stretching-Exercise/dp/B0B5RR8G77/ref=sr_1_204?qid=1679218371&s=sports&sr=1-204,4.2,508,₹349,₹599
Gadget Deals 2-in-1 Rechargeable Cycle Light and Horn with Cycle Tail Light LED Cycle Light for Bicycle Front Rear Light C...,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/31jV0+jgN3S._AC_UL320_.jpg,https://www.amazon.in/Gadget-Rechargeable-Bicycle-Light-Multicolor/dp/B085XJ3QCL/ref=sr_1_205?qid=1679218371&s=sports&sr=1-205,3.9,708,₹399,"₹1,199"
"Silver's Plastic Shuttle Cock Marvel, Pack of 3 (Yellow)",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/71p6ntf9f-L._AC_UL320_.jpg,https://www.amazon.in/Silvers-Plastic-Shuttle-Marvel-Yellow/dp/B0BCH1BM2L/ref=sr_1_206?qid=1679218371&s=sports&sr=1-206,2.2,58,,₹75
Speedo,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/51dy1IeKPWL._AC_UL320_.jpg,https://www.amazon.in/Speedo-Silicon-Flat-Swimcap-Black/dp/B001ISK4U4/ref=sr_1_207?qid=1679218371&s=sports&sr=1-207,4.2,"1,069",,₹529
Campus Men's Maxico Running Shoes,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/81Pk4RiSKqL._AC_UL320_.jpg,https://www.amazon.in/Campus-Maxico-MODBLU-BLU-Running-Shoes/dp/B0855ZDZCX/ref=sr_1_208?qid=1679218371&s=sports&sr=1-208,3.9,"20,427",₹675,"₹1,299"
Cockatoo Adjustable Hand Gripper; Hand Grip,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/81CPw7ziVOL._AC_UL320_.jpg,https://www.amazon.in/Cockatoo-GY13-Adjustable-Hand-Gripper/dp/B01L9CQHJK/ref=sr_1_209?qid=1679218371&s=sports&sr=1-209,4.0,38,₹149,₹530
Nivia 418M Lycra-Spandex Shin Guard with Sleeve - Medium (Black),sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/41SXqve8P8L._AC_UL320_.jpg,https://www.amazon.in/Nivia-418M-Lycra-Spandex-Guard-Sleeve/dp/B079DRF5HP/ref=sr_1_210?qid=1679218371&s=sports&sr=1-210,4.1,891,,₹240
"Amazon Basics 300 W Hand Blender with Stainless Steel Stem for Hot/Cold Blending and In-Built Cord Hook, ISI-Marked, Black",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/517er3i6s6L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Basics-Stainless-Blending-ISI-Marked/dp/B0B9RZ4G4W/ref=sr_1_211?qid=1679218371&s=sports&sr=1-211,4.0,183,₹899,"₹1,999"
"Amazon Basics Neoprene Ankle Weight, 1 Kg, Set of 2",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/81A9aEbaIvS._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-am_snirnph2_8-Ankle-Weight/dp/B084HZSW3V/ref=sr_1_212?qid=1679218371&s=sports&sr=1-212,4.1,9,₹429,₹850
Boldfit Winter Wear for Women Winter Cap for Men Woolen Cap for Men Beanie Cap for Men Winter Gloves for Men Winter Clothi...,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/71A7tYnlJuL._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Winter-Clothing-Mufflers-Clothes/dp/B0BJZ5QYFV/ref=sr_1_213?qid=1679218371&s=sports&sr=1-213,4.2,214,₹299,₹799
Lifelong LLAS01 Polypropylene Aerobics Stepper (Black and Red),sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61WJSeHTvuL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-Polypropylene-Adjustable-Exercise-Aerobics/dp/B089SNPGMS/ref=sr_1_214?qid=1679218371&s=sports&sr=1-214,4.2,"1,989",₹999,"₹2,100"
"Nivia Wrist Band WB01 (L, Black)",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/61ARGCPQLBL._AC_UL320_.jpg,https://www.amazon.in/NIVIA-Wrist-Band-WB01-Black/dp/B09MFQMNF7/ref=sr_1_215?qid=1679218371&s=sports&sr=1-215,4.1,133,,₹140
"Star X 2KGPVC Dumbbell, Adult 2Kg Set of 2",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/41tFIeC-PeL._AC_UL320_.jpg,https://www.amazon.in/Star-2KGPVC-Dumbbell-Adult-2Kg/dp/B01LX6OSBW/ref=sr_1_216?qid=1679218371&s=sports&sr=1-216,4.0,208,₹159,₹599
Campus Men's North Plus Running Shoes,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/51I36y085zL._AC_UL320_.jpg,https://www.amazon.in/Campus-North-Plus-Running-Shoes/dp/B08PRY7ZY8/ref=sr_1_793?qid=1679218381&s=sports&sr=1-793,3.9,"6,948","₹1,299","₹1,699"
